id,merged_title,merged_course_id,category,category_id,required_course1,required_course2,required_course3
469,How Virtual Reality (VR) Works,course-v1:UCSanDiegoX+CSE165x+2T2017,计算机,22,0,0,0
470,HR经理的修炼,course-v1:HongheUniversity+63055100+2017_T1,经管·会计,20,0,0,0
471,HTML5 and CSS Fundamentals,course-v1:W3Cx+HTML5.0x+1T2017,计算机,22,0,0,0
472,HTML5 Apps and Games: Advanced Techniques,course-v1:W3Cx+HTML5.2x+1T2017,计算机,22,474,474,471
473,HTML5 Coding Essentials and Best Practices,course-v1:W3Cx+HTML5.1x+1T2017,计算机,22,576,471,0
474,HTML5 Part 1: HTML5 Coding Essentials and Best Practices,course-v1:W3Cx+HTML5.1x+3T2016,计算机,22,0,0,0
475,HTML5 Part 2: Advanced Techniques for Designing HTML5 Apps,course-v1:W3Cx+HTML5.2x+2T2016,计算机,22,474,0,0
476,Human Anatomy,course-v1:HKPolyUx+ANA101x+2T2017,医学·健康,4,0,0,0
477,Human Origins,course-v1:ASUx+ASM246+2171A,生命科学,17,0,0,0
478,Human Rights Activism Advocacy and Change,course-v1:CurtinX+HRIG3x+2T2017,社科·法律,19,0,0,0
479,Human Rights and Development,course-v1:CurtinX+HRIG2x+1T2017,社科·法律,19,0,0,0
480,Human Rights Theory and Philosophy,course-v1:CurtinX+HRIG1x+1T2017,社科·法律,19,0,0,0
481,Human Spaceflight - An introduction,course-v1:KTHx+SD2905.1x+1T2017,工程,9,550,656,969
482,Humanity and Nature in Chinese Thought,course-v1:HKUx+HKU03x+2T2017,哲学,6,0,0,0
483,Hydraulics 水力学,course-v1:TsinghuaX+HYD1.1x+1T2017,工程,9,83,82,168
484,Hydraulique fluviale 1 -  écoulements à surface libre,course-v1:LouvainX+Louv17.1x+3T2017,工程,9,0,0,0
485,Hydraulique fluviale 2 : Sédiments et morphologie fluviale,course-v1:LouvainX+Louv17.2x+1T2018,工程,9,223,223,484
486,Hypersonics – from Shock Waves to Scramjets,course-v1:UQx+Hypers301x+3T2016,工程,9,421,592,568
487,iBA经济通识结业考试课程,course-v1:TsinghuaX+THUSEM011+_,经管·会计,20,0,0,0
488,IC设计与方法,course-v1:TsinghuaX+81020142X+2016_T2,电子,18,1700,1315,1645
489,Idealismo Filosófico: Cómo hacer Mundos con Ideas,course-v1:UAMx+Idealismo501x+1T2017,哲学,6,0,0,0
490,IELTS Academic Test Preparation,course-v1:UQx+IELTSx+2T2017,外语,7,0,0,0
491,Ignorance!,course-v1:ANUx+Igno101x+1T2016,哲学,6,0,0,0
492,IMAGE | ABILITY - Visualizing the Unimaginable,course-v1:DelftX+Visual101x+3T2017,艺术·设计,21,376,830,1007
493,Impacto de la Investigación de Mercados,course-v1:JaverianaX+INVM1.0x+1T2017,其他,1,0,0,0
494,Implementation of Data Structures,course-v1:IITBombayX+CS213.2x+1T2017,计算机,22,418,776,0
495,Implementing Customer Insights for Your Business,course-v1:DelftX+IDEMC.1x+1T2017,经管·会计,20,0,0,0
496,Implementing ETL with SQL Server Integration Services (SSIS),course-v1:Microsoft+DAT217x+2T2017,计算机,22,1053,60,0
497,Implementing In-Memory SQL Database Objects,course-v1:Microsoft+DAT215.4x+1T2017,计算机,22,749,796,832
498,Implementing Predictive Analytics with Spark in Azure HDInsight,course-v1:Microsoft+DAT202.3x+2T2017,计算机,22,0,0,0
499,Implementing Predictive Solutions with Spark in Azure HDInsight,course-v1:Microsoft+DAT202.3x+5T2016,计算机,22,879,498,0
500,Implementing Real-Time Analysis with Hadoop in Azure HDInsight,course-v1:Microsoft+DAT202.2x+4T2016,计算机,22,879,0,0
501,Implementing Real-Time Analytics with Hadoop in Azure HDInsight,course-v1:Microsoft+DAT202.2x+2T2017,计算机,22,879,500,0
502,Improvement Science in Education,course-v1:MichiganX+LeadEd503x+1T2017,教育,12,724,66,137
503,Improving Global Health: Focusing on Quality and Safety,course-v1:HarvardX+PH555x+2017_T2,医学·健康,4,0,0,0
504,Inclusive Leadership Training: Becoming a Successful Leader,course-v1:CatalystX+ILX2+3T2016,经管·会计,20,0,0,0
505,Inclusive Leadership Training: Get Beyond Work-Life Balance,course-v1:CatalystX+IL4x+3T2016,经管·会计,20,504,0,0
506,Inclusive Leadership Training: Leading with Effective Communication,course-v1:Catalystx+IL5x+3T2016,经管·会计,20,505,0,0
507,Industrial Biotechnology,course-v1:DelftX+TBP01x+T32017,工程,9,0,0,0
508,Industrias sostenibles y competitivas,course-v1:JaverianaX+Ind.1603x.01+3T2017,工程,9,0,0,0
509,Information Systems and Computer Applications Part 1: IT,course-v1:UPValenciaX+ISC101.1x+1T2017,计算机,22,0,0,0
510,Information Systems and Computer Applications Part 2: Hardware,course-v1:UPValenciaX+ISC101.2x+1T2017,计算机,22,509,0,0
511,Information Systems and Computer Applications Part 3: Software Development,course-v1:UPValenciaX+ISC101.3x+1T2017,计算机,22,510,0,0
512,Information Systems and Computer Applications Part 4: Programming,course-v1:UPValenciaX+ISC101.4x+1T2017,计算机,22,511,0,0
513,Information Systems and Computer Applications Part 5: Social Implications,course-v1:UPValenciaX+ISC101.5x+1T2017,计算机,22,512,0,0
514,Innovation & Creativity Management,course-v1:RWTHx+MTI003x+3T2017,经管·会计,20,749,832,796
515,Innovation and Competition: Succeeding through Global Standards,course-v1:IEEEx+Standards01.x+1T2017,经管·会计,20,0,0,0
516,Innovation and IT Management,course-v1:IIMBx+IS110x+2T2017,经管·会计,20,0,0,0
517,Instructional Design and Technology: Learning Theories,course-v1:USMx+LDT100x+2T2017,教育,12,0,0,0
518,Instructional Design Data Mining,course-v1:USMx+LDT400x+1T2018,教育,12,517,0,0
519,Instructional Design Models,course-v1:USMx+LDT200x+2T2017,教育,12,518,0,0
520,Instructional Design: Digital Media New Tools and Technology,course-v1:USMx+LDT300x+3T2017,教育,12,519,0,0
521,Intermediate C++,course-v1:Microsoft+DEV210.2x+3T2016,计算机,22,817,549,130
522,Intermediate Financial and Management Accounting,course-v1:ACCA+FA2-MA2.X+1T2017,经管·会计,20,0,0,0
523,International Business Environment and Global Strategy,course-v1:IIMBx+IM110x+3T2016,经管·会计,20,0,0,0
524,International Hospitality Luxury Management,course-v1:HKPolyUx+HTM541x+1T2017,经管·会计,20,576,582,575
525,International Humanitarian Law,course-v1:LouvainX+Louv16x+1T2017,社科·法律,19,817,130,826
526,International Investment Law,course-v1:LouvainX+Louv20x+3T2017,社科·法律,19,817,130,826
527,International Law,course-v1:LouvainX+Louv5x+1T2017,社科·法律,19,0,0,0
528,International Marketing | 国际市场营销学,course-v1:PekingX+02534010x+1T2017,经管·会计,20,0,0,0
529,International Project Management,course-v1:RITx+PM9003x+2T2017,经管·会计,20,749,832,796
530,Interpreting and Communicating Data Insights in Business,course-v1:Microsoft+DAT212x+1T2017,经管·会计,20,59,58,60
531,Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,course-v1:UC3Mx+BD.1x+2T2017,历史,5,0,0,0
532,Introducción a la Estructura de la Materia,course-v1:UPValenciaX+IQ101.1x+1T2017,化学,3,872,200,658
533,Introducción a la gestión de proyectos,course-v1:UPValenciax+IGP101.x+2T2017,经管·会计,20,0,0,0
534,Introducción a la inversión bursátil,course-v1:UPValenciaX+BOL1201.x+1T2017,经管·会计,20,0,0,0
535,Introducción al desarrollo de videojuegos con Unity,course-v1:UPValenciaX+UNY201.x+2T2017,计算机,22,0,0,0
536,Introduction à l’économétrie,course-v1:LouvainX+Louv14x+1T2017,经管·会计,20,454,439,203
537,Introduction à l'astrophysique,course-v1:EPFLx+PHYS-209x+3T2016,物理,15,866,193,454
538,Introduction to Aeronautical Engineering,course-v1:DelftX+AE1110x+2T2017,工程,9,0,0,0
539,Introduction to Analytics Modeling,course-v1:GTx+ISYE6501x+2T2017,数学,13,214,724,66
540,Introduction to AP* Human Geography,course-v1:UTAustinX+UT.HGEO.13.01x+3T2017,环境·地球,16,0,0,0
541,Introduction to Apache Hadoop,course-v1:LinuxFoundationX+LFS103x+2T2017,计算机,22,656,583,105
542,Introduction to Applied Biostatistics: Statistics for Medical Research,course-v1:OsakaUx+MED101x+3T2016,生命科学,17,0,0,0
543,Introduction to Astrophysics,course-v1:EPFLx+PHYS-209-ENx+3T2016,物理,15,109,107,718
544,Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,course-v1:HarvardX+PH525.5x+2T2017,生命科学,17,898,1114,898
545,Introduction to Bioethics,course-v1:GeorgetownX+PHLX-101x+1T2017_4,生命科学,17,0,0,0
546,Introduction to Biology - The Secret of Life,course-v1:MITx+7.00x_4+2T2016,生命科学,17,0,0,0
547,Introduction to Biomedical Imaging,course-v1:UQx+BIOIMG101x+3T2016,医学·健康,4,0,0,0
548,Introduction to Bootstrap – A Tutorial,course-v1:Microsoft+DEV203x+1T2017,计算机,22,671,749,832
549,Introduction to C++,course-v1:Microsoft+DEV210x+1T2017,计算机,22,52,457,817
550,Introduction to Ci Poems in the Tang and Song Dynasty,course-v1:TsinghuaX+00690863X+1T2017,文学,14,0,0,0
551,Introduction to Clinical Psychology,course-v1:UQx+PSYC1030.3x+4T2016,医学·健康,4,0,0,0
552,Introduction to Cloud Computing,course-v1:Microsoft+CLOUD200x+3T2016,计算机,22,671,137,724
553,Introduction to Cloud Foundry and Cloud Native Software Architecture,course-v1:LinuxFoundationX+LFS132x+1T2017,计算机,22,112,550,663
554,Introduction to Computational Thinking and Data Science,course-v1:MITx+6.00.2x_6+3T2016,计算机,22,1660,1837,0
555,Introduction to Computer Numerical Control,course-v1:TenarisUniversity+CNC101x+2T2017,计算机,22,1053,457,910
556,Introduction to Computer Science and Programming Using Python,course-v1:MITx+6.00.1x_11+1T2017,计算机,22,582,0,0
557,Introduction to Computing using Python,course-v1:GTx+CS1301x+1T2017,计算机,22,0,0,0
558,Introduction to Continuum Physics,course-v1:MichiganX+PHY701x+1T2017,物理,15,0,0,0
559,Introduction to Control System Design - A First Look,course-v1:MITx+6.302.0x+2T2016,工程,9,25,879,112
560,Introduction to Cybersecurity,course-v1:UWashingtonX+CYB001x+1T2017,计算机,22,0,0,0
561,Introduction to Data Analysis using Excel,course-v1:Microsoft+DAT205x+3T2016,计算机,22,0,0,0
562,Introduction to Data Analytics for Managers,course-v1:MichiganX+DS120x+1T2017,经管·会计,20,0,0,0
563,Introduction to Data Storage and Management Technologies,course-v1:IEEEx+Storage101x+1T2017,计算机,22,0,0,0
564,Introduction to Data Structures,course-v1:AdelaideX+Data101x+1T2017,计算机,22,457,1053,166
565,Introduction to Deep Earth Science,course-v1:TokyoTechX+GeoS101x+2T2016,环境·地球,16,837,837,121
566,Introduction to Developmental Psychology,course-v1:UQx+PSYC1030.2x+4T2016,医学·健康,4,0,0,0
567,Introduction to DevOps,course-v1:Microsoft+DEV212x+1T2017,计算机,22,0,0,0
568,Introduction to DevOps: Transforming and Improving Operations,course-v1:LinuxFoundationX+LFS161x+2T2016,计算机,22,898,1114,898
569,Introduction to Differential Equations,course-v1:BUx+Math226.1x+2T2017,数学,13,817,921,794
570,Introduction to Economics: Macroeconomics,course-v1:SNUx+SNU044.088.2x+3T2016,经管·会计,20,0,0,0
571,Introduction to Electrical and Electronic Engineering :  電気電子工学入門,course-v1:TokyoTechX+EE101Jx+2T2017,工程,9,1144,1582,2232
572,Introduction to Engineering: Imagine. Design. Engineer!,course-v1:ASUx+FSE100x+2177C,工程,9,829,0,0
573,Introduction to Financial and Management Accounting,course-v1:ACCA+FA1-MA1.X+1T2017,经管·会计,20,0,0,0
574,Introduction to German Opera,course-v1:DartmouthX+DART.MUS.02X+2T2017,艺术·设计,21,0,0,0
575,Introduction to Health and Wellness,course-v1:ASUx+EXW100x+2177B,医学·健康,4,0,0,0
576,Introduction to HTML and Javascript,course-v1:Microsoft+DEV211.1x+1T2017,计算机,22,376,1053,830
577,Introduction to Inclusive Talent Acquisition,course-v1:PerkinsX+INC1.1+1T2017_2,经管·会计,20,0,0,0
578,Introduction to Investments,course-v1:IIMBx+FC250x+2T2017,经管·会计,20,0,0,0
579,Introduction to Java Programming – Part 1,course-v1:HKUSTx+COMP102.1x+1T2018,计算机,22,0,0,0
580,Introduction to Java Programming – Part 2,course-v1:HKUSTx+COMP102.2x+1T2018,计算机,22,579,0,0
581,Introduction to jQuery,course-v1:Microsoft+DEV208x+1T2017,计算机,22,749,796,832
582,Introduction to Linear Models and Matrix Algebra,course-v1:HarvardX+PH525.2x+2T2017,数学,13,0,0,0
583,Introduction to Linux,course-v1:LinuxFoundationX+LFS101x+1T2017,计算机,22,0,0,0
584,Introduction to Management Information Systems (MIS): A Survival Guide,course-v1:UC3Mx+IM.1x+1T2017,经管·会计,20,0,0,0
585,Introduction to Managerial Economics,course-v1:IIMBx+ES101x+2T2017,经管·会计,20,0,0,0
586,Introduction to Mao Zedong Thought 毛泽东思想概论,course-v1:TsinghuaX+10610224x+1T2017,哲学,6,0,0,0
587,Introduction to Microsoft Azure,course-v1:Microsoft+AZURE201x+3T2016,计算机,22,0,0,0
588,Introduction to Mobile Application Development using Android,course-v1:HKUSTx+COMP107x+1T2018,计算机,22,0,0,0
589,Introduction to Music Theory,course-v1:BerkleeX+OHARM-100x+1T2017,艺术·设计,21,943,1106,544
590,Introduction to Open Education,course-v1:UTArlingtonX+LINK.OEx+3T2017,教育,12,0,0,0
591,Introduction to OpenStack,course-v1:LinuxFoundationX+LFS152x+3T2016,计算机,22,376,1053,830
592,Introduction to Philosophy: God Knowledge and Consciousness,course-v1:MITx+24.00x+2T2016,哲学,6,0,0,0
593,Introduction to Programming with Java Part 1: Starting to Code with Java,course-v1:UC3Mx+IT.1.1x+3T2016,计算机,22,0,0,0
594,Introduction to Programming with Java Part 2: Writing Good Code,course-v1:UC3Mx+IT.1.2x+3T2016,计算机,22,593,0,0
595,Introduction to Programming with Java Part 3: Fundamental Data Structures and Algorithms,course-v1:UC3Mx+IT.1.3x+1T2017,计算机,22,593,0,0
596,Introduction to Project Management,course-v1:AdelaideX+Project101x+1T2017,经管·会计,20,0,0,0
597,Introduction to Psychological Research Methods,course-v1:UQx+PSYC1030.4x+1T2017,医学·健康,4,598,0,0
598,Introduction to Psychology 心理学概论,course-v1:TsinghuaX+30700313x+1T2017,医学·健康,4,0,0,0
599,Introduction to Python for Data Science,course-v1:Microsoft+DAT208x+1T2017,计算机,22,457,376,499
600,Introduction to Python: Absolute Beginner,course-v1:Microsoft+DEV236x+1T2017,计算机,22,557,0,0
601,Introduction to Python: Fundamentals,course-v1:Microsoft+DEV274x+2T2017,计算机,22,812,557,825
602,Introduction to R for Data Science,course-v1:Microsoft+DAT204x+1T2017,计算机,22,0,0,0
603,Introduction to Risk Management,course-v1:NYIF+RMPC1.1x+1T2017,经管·会计,20,0,0,0
604,Introduction to Social Psychology,course-v1:UQx+PSYC1030.1x+4T2016,医学·健康,4,0,0,0
605,Introduction to Sociology,course-v1:ASUx+SOC101x+2171A,社科·法律,19,0,0,0
606,Introduction to Solar Systems Astronomy,course-v1:ASUx+AST111x+2171B,物理,15,0,0,0
607,Introduction to State Space Control,course-v1:MITx+6.302.1x+2T2016,社科·法律,19,0,0,0
608,Introduction to Statistical Methods for Gene Mapping,course-v1:KyotoUx+005x+1T2017,生命科学,17,671,817,130
609,Introduction to Systems Biology,course-v1:IEEEx+SysBio1x+3T2016,艺术·设计,21,1053,166,457
610,Introduction to the Music Business,course-v1:BerkleeX+MB110x+1T2017,艺术·设计,21,0,0,0
611,Introduction to the National Electrical Safety Code (NESC),course-v1:IEEEx+NESC01x+1T2017,社科·法律,19,0,0,0
612,Introduction to The Theoretical System of Socialism with Chinese Characteristics,course-v1:TsinghuaX+ZG001x+3T2016,哲学,6,0,0,0
613,Introduction to TypeScript 2,course-v1:Microsoft+DEV273x+2T2017,计算机,22,0,0,0
614,Introduction to User Experience,course-v1:MichiganX+UX501x+3T2016,社科·法律,19,0,0,0
615,Introduction to Windows PowerShell,course-v1:Microsoft+POSH200x+3T2016,计算机,22,943,52,544
616,Introduction to Xamarin.Forms,course-v1:Microsoft+DEV215x+1T2017,计算机,22,0,0,0
617,Introductory Microeconomics,course-v1:MITx+14.01x+2T2017,经管·会计,20,0,0,0
618,Islamic Finance and Banking,course-v1:IRTIx+IFB1x+1T2017,经管·会计,20,0,0,0
619,Islamic Finance and Capital Markets,course-v1:IRTIx+IFCM101x+1T2017,经管·会计,20,618,0,0
620,Japanese Pronunciation for Communication,course-v1:WasedaX+JPC111x+1T2017,外语,7,0,0,0
621,Java Fundamentals for Android Development,course-v1:GalileoX+CAAD001X+1T2017,计算机,22,776,623,624
622,JavaScript Introduction,course-v1:W3Cx+JS.0x+1T2017,计算机,22,0,0,0
623,Java程序设计,course-v1:365dx+050+2017_T1,计算机,22,776,0,0
624,JAVA程序设计进阶,course-v1:dongguan+zhiye041+20161223,计算机,22,623,776,0
625,Journalism for Social Change,course-v1:BerkeleyX+J4SC101x+2T2017,社科·法律,19,0,0,0
626,Jugando con Android - Aprende a Programar tu Primera App,course-v1:UAMx+Android301x+1T2017,计算机,22,656,0,0
627,JuryX: Deliberations for Social Change,course-v1:HarvardX+HLS3x+3T2016,社科·法律,19,0,0,0
628,Just Money: Banking as if Society Mattered,course-v1:MITx+11.405x_2+1T2017,经管·会计,20,0,0,0
629,Justice,course-v1:HarvardX+ER22.1x+2T2017,社科·法律,19,0,0,0
630,Just Reading and Writing in English,course-v1:TsinghuaX+90640012X+1T2017,外语,7,0,0,0
631,Knowledge Management and Big Data in Business,course-v1:HKPolyUx+ISE101x+1T2017,计算机,22,0,0,0
632,L’eau et les sols – Hydrodynamique des milieux poreux,course-v1:LouvainX+Louv18x+3T2016,物理,15,866,193,223
633,La Espa?a de El Quijote,course-v1:UAMx+Quijote501x+3T2017,文学,14,0,0,0
634,La maladie d’Alzheimer: tout ce que vous avez toujours voulu savoir,course-v1:UPMCx+LaMalAlz1+2T_2016,医学·健康,4,0,0,0
635,La nueva industria eléctrica en México,course-v1:TecdeMonterreyX+LNIE1ed1+2T2017,电子,18,0,0,0
636,La protección del menor,course-v1:UAMx+ProtMenorx+1T2017,社科·法律,19,0,0,0
637,La Química Orgánica - Un mundo a tu alcance (Parte 2),course-v1:UAMx+QuiOrg2x+1T2017,化学,3,0,0,0
638,La Reforma Energética de México y sus oportunidades,course-v1:TecdeMonterreyX+LREE1ed1+2T2017,社科·法律,19,0,0,0
639,LabVIEW 基础课程(自主模式),course-v1:nix+a002+2017_T1,电子,18,0,0,0
640,LabVIEW进阶课程(自主模式),course-v1:nix+a003+2017_T1,电子,18,639,0,0
641,LAFF +C1272:C1292– On Programming for Correctness,course-v1:UTAustinX+UT.PQ.14.01x+1T2017,计算机,22,0,0,0
642,Language Revival: Securing the Future of Endangered Languages,course-v1:AdelaideX+Lang101x+3T2016,文学,14,0,0,0
643,Laplace Transform and Transfer Functions in Engineering,course-v1:MITx+18.03Lx+2T2017,数学,13,569,0,0
644,Launching Innovation in Schools,course-v1:MITx+11.154x+1T2017,教育,12,457,910,1053
645,Leaders in Global Development,course-v1:UQx+LGDM1x+1T2017,经管·会计,20,195,894,281
646,Leaders of Learning,course-v1:HarvardX+GSE2x+2T2017,经管·会计,20,0,0,0
647,Leadership & Management for IT Project Teams,course-v1:UWashingtonX+PM-IT-003x+1T2017,经管·会计,20,0,0,0
648,Leadership for Engineers,course-v1:DelftX+LfE101x+2T2017,经管·会计,20,457,1032,766
649,Leadership in Global Development Capstone,course-v1:UQx+LGDM5x+3T2017,经管·会计,20,32,645,766
650,Leading Ambitious Teaching and Learning,course-v1:MichiganX+LeadEd501x+1T2017,教育,12,66,724,137
651,Leading Change: Go Beyond Gamification with Gameful Learning,course-v1:MichiganX+GL101x+1T2017,经管·会计,20,0,0,0
652,Leading Educational Innovation and Improvement Capstone,course-v1:MichiganX+LeadEd505x+1T2017,教育,12,66,724,137
653,Leading in the Digital Age,course-v1:BUx+QD502x+3T2017,经管·会计,20,0,0,0
654,Leading With Effective Communication (Inclusive Leadership Training),course-v1:Catalystx+IL5x+2T2017,经管·会计,20,0,0,0
655,Lean Production,course-v1:TUMx+QPLS3x+1T2018,经管·会计,20,457,1053,166
656,Learn to Program in Java,course-v1:Microsoft+DEV276x+2T2017,计算机,22,623,624,0
657,Les fondements de la stratégie d’entreprise,course-v1:LouvainX+Louv10x+1T2017,经管·会计,20,0,0,0
658,Les principes de la finance,course-v1:LouvainX+Louv9x+1T2017,经管·会计,20,14,2576,344
659,Liderando el Desarrollo Sostenible de las Ciudades,course-v1:IDBx+IDB4x+2T2017,经管·会计,20,0,0,0
660,Liderando o Desenvolvimento Sustentável das Cidades,course-v1:IDBx+IDB4.1x+2T2017,经管·会计,20,0,0,0
661,Liderazgo para mandos intermedios,course-v1:UPValenciaX+LIDER201.3x+2T2017,经管·会计,20,0,0,0
662,Life and Death: Mysteries and Meanings,course-v1:HKPolyUx+Lifedeath101x+3T2017,经管·会计,20,0,0,0
663,Linear Algebra - Foundations to Frontiers,course-v1:UTAustinX+UT.5.05x+2T2017,数学,13,829,0,0
664,Linear Differential Equations,course-v1:BUx+Math226.2x+2T2017,数学,13,408,225,457
665,link系统商贷报备,course-v1:zhongrongxin+cw003+2016-8,经管·会计,20,666,0,0
666,link系统商贷操作培训测试,course-v1:zrxrz+03+20170227,经管·会计,20,0,0,0
667,Linux操作系统分析,course-v1:hnit_USTC001+USTC001+2016_T2,计算机,22,250,267,1170
668,Linux系统管理,course-v1:NBCC+NBCC000201+_sp,计算机,22,1354,1669,1266
669,Lo que todos deberían saber del Genoma Humano,course-v1:JaverianaX+GEN1.0x+1T2017,生命科学,17,0,0,0
670,Logic and Computational Thinking,course-v1:Microsoft+DEV262x+2T2017,计算机,22,0,0,0
671,Logics of Innovation and Improvement,course-v1:MichiganX+LeadEd502x+1T2017,经管·会计,20,724,66,137
672,M&A Concepts and Theories: Advanced Topics,course-v1:NYIF+MA1.2x+1T2017,经管·会计,20,0,0,0
673,M&A: Concepts and Theories,course-v1:NYIF+MA1.1x+1T2017,经管·会计,20,672,0,0
674,M&A: Free Cash Flow (FCF) Modeling,course-v1:NYIF+MA1.4x+1T2017,经管·会计,20,673,0,0
675,M&A: Structuring the Deal,course-v1:NYIF+MA1.3x+1T2017,经管·会计,20,674,0,0
676,Machine Learning,course-v1:ColumbiaX+CSMM.102x+1T2017,计算机,22,0,0,0
677,Machine Learning for Data Science,course-v1:UCSanDiegoX+DS220x+1T2018,计算机,22,175,764,880
678,Machine Learning for Data Science and Analytics,course-v1:ColumbiaX+DS102X+1T2017,计算机,22,676,677,0
679,Macroeconometric Forecasting,course-v1:IMFx+MFx+1T2017,经管·会计,20,457,969,694
680,Macroeconomic Principles,course-v1:ASUx+ECN211x+2177A,经管·会计,20,0,0,0
681,Magnetic Materials and Devices,course-v1:MITx+3.15.3x+2T2017,工程,9,107,767,662
682,Making Government Work in Hard Places,course-v1:PrincetonX+MGW+1T2017,社科·法律,19,0,0,0
683,Making Sense of Climate Science Denial,course-v1:UQx+Denial101x+1T2017,环境·地球,16,0,0,0
684,MalariaX: Defeating Malaria From the Genes to the Globe,course-v1:HarvardX+PH425x+2T2017,医学·健康,4,971,411,411
685,Manage Office 365 Identities,course-v1:Microsoft+CLD243x+2T2017,计算机,22,697,698,738
686,Management Accounting,course-v1:ACCA+FMA-F2.x+1T2017,经管·会计,20,457,175,764
687,Management Accounting for Decision Making,course-v1:IIMBx+AC102x+2T2016,经管·会计,20,0,0,0
688,Management Communication,course-v1:PekingX+NCEPU001x+2T2017,经管·会计,20,0,0,0
689,Managerial Economics,course-v1:SWJTU+50513002+2016_1,经管·会计,20,0,0,0
690,Managing Addiction: A Framework for Successful Treatment,course-v1:AdelaideX+AddictionX+3T2016,医学·健康,4,0,0,0
691,Managing Disruptive Change,course-v1:RWTHx+MTI001x+2T2017,经管·会计,20,0,0,0
692,Managing Human Resources in the Hospitality and Tourism Industry,course-v1:HKPolyUx+HTM533x+3T2017,经管·会计,20,576,582,575
693,Managing Identity,course-v1:Microsoft+INF253x+2T2017,经管·会计,20,0,0,0
694,Managing Marketing in the Hospitality and Tourism Industry,course-v1:HKPolyUx+HTM534x+2T2017,经管·会计,20,576,582,575
695,Managing Microsoft Exchange Online in Office 365,course-v1:Microsoft+CLD222x+1T2017,计算机,22,0,0,0
696,Managing People from a Global Perspective,course-v1:ASUx+TGM540x+1T2017,经管·会计,20,0,0,0
697,Managing Projects & Portfolios with Microsoft PPM,course-v1:Microsoft+CLD215x+1T2017,经管·会计,20,813,90,619
698,Managing Projects with Microsoft Project,course-v1:Microsoft+CLD213x+1T2017,经管·会计,20,0,0,0
699,Managing SQL Database Transactions and Concurrency,course-v1:Microsoft+DAT215.3x+1T2017,计算机,22,796,749,832
700,Managing the Value of Customer Relationships,course-v1:Wharton+CustomerCentricityx+1T2017,经管·会计,20,0,0,0
701,Mandarin Chinese for Business,course-v1:MandarinX+MX801x+1T2017,外语,7,0,0,0
702,Mao to Now: On Chinese Marxism,course-v1:NewcastleX+MTN101x+1T2017,哲学,6,0,0,0
703,Marketing Analytics,course-v1:ColumbiaX+BAMM.104x+3T2017,经管·会计,20,0,0,0
704,Marketing Analytics: Data Tools and Techniques,course-v1:Wharton+MarketingAnalytics101x+1T2017,经管·会计,20,703,0,0
705,Marketing Fundamentals: Who Is Your Customer?,course-v1:BabsonX+BPET.MKTx+1T2017,经管·会计,20,704,0,0
706,Marketing Management,course-v1:IIMBx+MK102x+1T2017,经管·会计,20,705,0,0
707,Master Control in Supply Chain Management and Logistics,course-v1:ChalmersX+ChM006x+1T2017,经管·会计,20,2327,2324,2222
708,Masterpieces of World Literature,course-v1:HarvardX+HUM12x+1T2017,文学,14,0,0,0
709,Materials Science and Engineering,course-v1:MISISx+MSE1x+3T2016,工程,9,724,66,1015
710,Math,course-v1:m+Math_01+2016_T2,数学,13,0,0,0
711,Mathematical Modeling Basics,course-v1:DelftX+MathMod1x+2T2017,数学,13,829,0,0
712,Mathematical Modeling in Biology and Life Sciences 生物数学建模,course-v1:PekingX+01139732x+3T2016,数学,13,0,0,0
713,Maths Essentials for MBA Success,course-v1:ImperialBusinessX+ICBS003+1T2017,数学,13,0,0,0
714,MATLAB and Octave for Beginners,course-v1:EPFLx+MatlabeOctaveBeginnersX+1T2017,计算机,22,826,796,817
715,MATLAB et Octave pour débutants,course-v1:EPFLx+matlaboctaveX+2T2016,计算机,22,0,0,0
716,Measuring Health Outcomes in Field Surveys,course-v1:MITx+JPAL350x+3T2016,医学·健康,4,0,0,0
717,Measuring Risk: Equity Fixed Income Derivatives and FX,course-v1:NYIF+RMPC1.2x+1T2017,经管·会计,20,0,0,0
718,Mechanics: Kinematics and Dynamics,course-v1:MITx+8.01.1x+3T2016,物理,15,83,82,829
719,Mechanics: Momentum and Energy,course-v1:MITx+8.01.2x+3T2016,物理,15,168,169,83
720,Mechanics: Rotational Dynamics,course-v1:MITx+8.01.3x+1T2017,物理,15,168,169,83
721,Medical Genomics 101,course-v1:DavidsonX+MedGen101x+3T2016,医学·健康,4,0,0,0
722,Medicinal Chemistry: The Molecular Basis of Drug Discovery,course-v1:DavidsonX+D001x+1T2017,化学,3,0,0,0
723,MEMS与微系统,course-v1:dongguan+zhiye038+20161223,电子,18,1580,483,0
724,Micro and Nanofabrication (MEMS),course-v1:EPFLx+memsX+2016_T4,电子,18,0,0,0
725,Microcápsulas: Aplicación y Caracterización,course-v1:UPValenciaX+MCAP101x+3T2017,工程,9,0,0,0
726,Microeconomics,course-v1:MITx+14.100x+1T2017,经管·会计,20,169,168,170
727,Microsoft Azure Active Directory,course-v1:Microsoft+AZURE204x+3T2016,计算机,22,0,0,0
728,Microsoft Azure Virtual Machines,course-v1:Microsoft+AZURE202x+3T2016,计算机,22,0,0,0
